ward_name,forecast,tier,officers_per_shift,month_num
High Barnet Ward,5.509538,Medium,6,1
South Norwood Ward,5.5046124,Medium,6,1
Lewisham Central Ward,5.5035653,Medium,6,1
New Malden Village Ward,5.5033894,Medium,6,1
West Heath Ward,5.4957085,Medium,6,1
Clock House Ward,5.4909787,Medium,6,1
Fortis Green Ward,5.490824,Medium,6,1
Wealdstone South Ward,5.4901295,Medium,6,1
Leytonstone Ward,5.4822564,Medium,6,1
Southall West Ward,5.4814415,Medium,6,1
Pitshanger Ward,5.465976,Medium,6,1
Brook Green Ward,5.4593606,Medium,6,1
Hampton Ward,5.45868,Medium,6,1
Cockfosters Ward,5.4487863,Medium,6,1
Dulwich Wood Ward,5.448067,Medium,6,1
Crook Log Ward,5.439937,Medium,6,1
King's Park Ward,5.431126,Medium,6,1
Barnes Ward,5.428865,Medium,6,1
Mayfield Ward,5.4256864,Medium,6,1
Queen's Gate Ward,5.4122014,Medium,6,1
Chiswick Riverside Ward,5.407968,Medium,6,1
Myatt's Fields Ward,5.406741,Medium,6,1
Ridgeway Ward,5.405111,Medium,6,1
Elm Park Ward,5.4037066,Medium,6,1
Little Ilford Ward,5.386738,Medium,6,1
Wallington South Ward,5.353203,Low,3,1
Barking Riverside Ward,5.33651,Low,3,1
North Greenford Ward,5.326463,Low,3,1
Fulham Reach Ward,5.3235364,Low,3,1
Isleworth Ward,5.3193192,Low,3,1
Parsloes Ward,5.3107467,Low,3,1
West Hill Ward,5.3081,Low,3,1
Caledonian Ward,5.2878747,Low,3,1
Green Street West Ward,5.277808,Low,3,1
Grove Park Ward,5.269395,Low,3,1
Hounslow South Ward,5.265555,Low,3,1
Colham & Cowley Ward,5.2570896,Low,3,1
Petts Wood & Knoll Ward,5.2512436,Low,3,1
West Wickham Ward,5.242958,Low,3,1
Ruislip Ward,5.241186,Low,3,1
South Balham Ward,5.232342,Low,3,1
Higham Hill Ward,5.225336,Low,3,1
Hayes & Coney Hall Ward,5.221822,Low,3,1
Grove Green Ward,5.217704,Low,3,1
Kelsey & Eden Park Ward,5.2116365,Low,3,1
Newington Ward,5.2060432,Low,3,1
Central Greenford Ward,5.1918645,Low,3,1
Headstone Ward,5.180074,Low,3,1
Cazenove Ward,5.1746197,Low,3,1
Cricket Green Ward,5.1743045,Low,3,1
Downham Ward,5.1626844,Low,3,1
Shirley North Ward,5.1623206,Low,3,1
Loxford Ward,5.1471963,Low,3,1
Eltham Page Ward,5.1214914,Low,3,1
Sanderstead Ward,5.1210284,Low,3,1
Chapel End Ward,5.1083546,Low,3,1
Slade Green & Northend Ward,5.1056366,Low,3,1
William Morris Ward,5.090674,Low,3,1
Fairlop Ward,5.0767193,Low,3,1
