ward,month,pred1,actual,pred2,abs_diff,rel_diff_pct
Dulwich Wood,8,6.946606,5.0,5.3555223135218855,1.5910836864781146,25.866803628267714
Dulwich Wood,8,6.946606,5.0,5.3555223135218855,1.5910836864781146,25.866803628267714
Dulwich Wood,9,6.9774776,7.0,5.3555223135218855,1.6219552864781148,26.302688686469626
Dulwich Wood,9,6.9774776,7.0,5.3555223135218855,1.6219552864781148,26.302688686469626
Dulwich Wood,10,7.4704905,6.0,5.3555223135218855,2.114968186478115,32.979355583496684
Dulwich Wood,10,7.4704905,6.0,5.3555223135218855,2.114968186478115,32.979355583496684
Dulwich Wood,11,7.616953,11.0,5.3555223135218855,2.261430686478114,34.86506055048581
Dulwich Wood,11,7.616953,11.0,5.3555223135218855,2.261430686478114,34.86506055048581
Dulwich Wood,12,7.6174946,10.0,5.3555223135218855,2.261972286478114,34.87195463563208
Dulwich Wood,12,7.6174946,10.0,5.3555223135218855,2.261972286478114,34.87195463563208
Ealing Broadway,1,8.119606,20.0,9.39091686679195,1.27131086679195,14.520535753994457
Ealing Broadway,1,8.119606,20.0,9.39135769587032,1.2717516958703214,14.52520509959419
Ealing Broadway,2,7.753829,7.0,9.391196103155222,1.6373671031552224,19.100200708996287
Ealing Broadway,2,7.753829,7.0,9.391357704553895,1.6375287045538958,19.101905774160578
Ealing Broadway,3,7.7703357,8.0,9.39127984704782,1.620944147047819,18.89034447373642
Ealing Broadway,3,7.7703357,8.0,9.391357708207702,1.6210220082077011,18.891166153014197
Ealing Broadway,4,6.997677,6.0,9.325472515414448,2.327795515414448,28.52140162309044
Ealing Broadway,4,6.997677,6.0,9.39132733330108,2.3936503333010792,29.210442374920635
Ealing Broadway,5,6.997677,6.0,8.767781908479938,1.7701049084799374,22.455482187427247
Ealing Broadway,5,6.997677,6.0,9.391343777691867,2.393666777691867,29.21061374148769
Ealing Broadway,6,6.997677,6.0,9.32068972150595,2.3230127215059495,28.471142500363772
Ealing Broadway,6,6.997677,6.0,9.391352070049656,2.393675070049656,29.210700155801277
Ealing Broadway,7,7.0373173,9.0,9.296771504759826,2.2594542047598267,27.6655065583017
Ealing Broadway,7,7.0373173,9.0,9.39135519749673,2.354037897496731,28.657676362535323
Ealing Broadway,8,7.155789,4.0,9.372112395402526,2.216323395402526,26.81917495005177
Ealing Broadway,8,7.155789,4.0,9.391356670755249,2.2355676707552483,27.02058367330747
Ealing Broadway,9,7.1866603,5.0,9.376170884745436,2.1895105847454364,26.43884442609065
Ealing Broadway,9,7.1866603,5.0,9.391357255320122,2.204696955320122,26.59783593500422
Ealing Broadway,10,7.7562976,17.0,9.387157703516232,1.6308601035162322,19.026037337779066
Ealing Broadway,10,7.7562976,17.0,9.391357519914864,1.6350599199148643,19.070361614818644
Ealing Broadway,11,7.8113065,16.0,9.388809994495888,1.5775034944958888,18.342939653934284
Ealing Broadway,11,7.8113065,16.0,9.39135762811699,1.5800511281169909,18.369842209898962
Ealing Broadway,12,7.811848,12.0,9.39051661415836,1.5786686141583592,18.35408851709887
Ealing Broadway,12,7.811848,12.0,9.391357675954398,1.5795096759543972,18.36296915477957
Ealing Common,1,8.586202,9.0,10.659011367272656,2.072809367272656,21.541038051545442
Ealing Common,1,8.586202,9.0,10.659011367272656,2.072809367272656,21.541038051545442
Ealing Common,2,8.191054,10.0,10.659011367272656,2.467957367272657,26.18513325219027
Ealing Common,2,8.191054,10.0,10.659011367272656,2.467957367272657,26.18513325219027
Ealing Common,3,8.207561,5.0,10.659011367272656,2.451450367272656,25.98723625628068
Ealing Common,3,8.207561,5.0,10.659011367272656,2.451450367272656,25.98723625628068
Ealing Common,4,7.692196,9.0,10.659011367272656,2.9668153672726563,32.333734864373476
Ealing Common,4,7.692196,9.0,10.659011367272656,2.9668153672726563,32.333734864373476
Ealing Common,5,7.692196,2.0,10.659011367272656,2.9668153672726563,32.333734864373476
Ealing Common,5,7.692196,2.0,10.659011367272656,2.9668153672726563,32.333734864373476
Ealing Common,6,7.692196,4.0,10.659011367272656,2.9668153672726563,32.333734864373476
Ealing Common,6,7.692196,4.0,10.659011367272656,2.9668153672726563,32.333734864373476
Ealing Common,7,7.7431417,7.0,10.659011367272656,2.9158696672726565,31.690527261816882
Ealing Common,7,7.7431417,7.0,10.659011367272656,2.9158696672726565,31.690527261816882
Ealing Common,8,7.8616133,2.0,10.659011367272656,2.797398067272656,30.208463456590316
Ealing Common,8,7.8616133,2.0,10.659011367272656,2.797398067272656,30.208463456590316
Ealing Common,9,7.8924847,6.0,10.659011367272656,2.7665266672726565,29.825375346985446
Ealing Common,9,7.8924847,6.0,10.659011367272656,2.7665266672726565,29.825375346985446
Ealing Common,10,8.229933,8.0,10.659011367272656,2.4290783672726555,25.71957775979607
