ward,mae,rmse,smape,mase
Peckham Rye,1.8968050859032466,2.2171229110085635,56.719359448472474,0.7587220343612986
Pembridge,2.577333934863847,3.208996195803894,40.845776209731724,0.6185601443673232
Penenden Heath,0.0,0.0,0.0,
Penge & Cator,4.546705328960005,6.350325013752032,38.053273637762324,0.7179008414147378
Peninsula,10.276337486324673,10.295241668932817,194.82409911337137,30.82901245897402
Pensby and Thingwall,0.0,0.0,0.0,
Perivale,3.073394207539442,3.8875218146131414,42.39535350401564,0.8195717886771845
Perry Vale,3.611134727665423,4.238655015238393,40.00629571264005,0.7602388900348259
Petts Wood & Knoll,2.6097643128666945,3.2895492272078903,64.06840713882183,1.043905725146678
Piccadilly,0.0,0.0,0.0,
Pilgrims Hatch,0.0,0.0,0.0,
Pimlico North,2.8180130522352633,3.6137100098211454,32.58548030285734,0.638040691072135
Pimlico South,2.1463963963963963,2.7577612549005983,65.2720044988001,0.9539539539539539
Pinkwell,7.407115456634981,8.832210139750376,96.08359584914184,1.1851384730615968
Pinner,3.446147628482033,3.977474122881719,65.24528176675456,1.1815363297652686
Pinner South,2.0781321269834936,2.481577139070709,55.4626624696328,1.5585990952376203
Pitshanger,2.87119745022315,3.8859819311566124,51.83358511853885,1.0766990438336812
Plaistow,2.300542031556886,3.1077032752227964,59.6990806680774,0.6134778750818363
Plaistow North,2.344123459368627,2.830497052850393,35.96784222772922,0.8790462972632351
Plaistow South,3.1124725710611307,3.7563900039041416,45.562391206763024,0.8892778774460374
Plaistow West & Canning Town East,2.0718357800106477,2.3751064283313443,28.32951820292105,0.8020009471008959
Plashet,1.2030785070658634,1.4201274883164245,66.02363612770593,0.6874734326090648
Pleck,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Plumstead & Glyndon,4.680466976057468,5.111760731442793,55.88087317499423,1.651929520961459
Plumstead Common,2.4274503930339066,2.8714909000370827,42.5904773469355,1.0044622316002374
Pocklington Provincial,0.0,0.0,0.0,
Pollards Hill,1.6004384509905882,2.2995226821351604,109.19824762077093,0.9602630705943529
Ponders End,3.172214509810555,3.9470421023923876,41.85284014115787,0.5947902205894791
Poplar,1.9587285107785863,2.3382951807444097,73.7660789374736,0.7345231915419699
Portsoken,1.50487591837656,1.816382555534044,53.435357783513325,0.694558116173797
Potters Bar Furzefield,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Potters Bar Oakmere,0.020270270248202344,0.020270270248202344,199.9999013333819,
Preston,1.1753296061993759,1.653220742858407,47.156631916099414,0.5641582109757004
Primrose Hill,3.1521624881964456,3.8182870239738245,43.162958338726924,0.7274221126607183
Prince's,2.0067567567567566,2.0067567567567566,199.99999900336704,
Prittlewell,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Purley & Woodcote,2.9741949309579834,3.457941078593373,31.283572549200596,1.0197239763284516
Purley Oaks & Riddlesdown,1.97908137627204,2.39206256837352,60.247973752249564,0.8481777326880171
Queen's Gate,2.656409073058971,3.3660163159136767,44.942132006684226,1.0282873831196016
Queen's Park,2.6998375492508515,3.1953155560522775,40.51803218839842,0.719956679800227
Queens Park,3.2917773041982543,4.137592158481999,30.239294016870033,0.7315060675996121
Queens Park & Central,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Queensbury,2.282628494393373,2.8301315051520666,32.18745115326413,0.7826154837920136
Queenstown,1.7292261648319485,1.7556520222064314,187.01939421089423,5.187678494495846
Rainham & Wennington,1.985446926821382,2.555105606409962,46.28025472073355,0.6109067467142714
Ravensbury,1.409641607867755,1.8105749874996044,58.22443367792679,0.6265073812745577
Ravenscourt,2.3284094964191184,3.031664764869531,52.13812660366085,0.9634797916217043
Rayners Lane,1.6612476235386786,2.0386525773297257,87.71871260705105,0.7667296724024671
Raynes Park,2.5547772996422347,3.367403623533199,62.23162508010726,0.958041487365838
Redcliffe,3.287705944345717,4.253475845521196,32.25879849105226,1.0662830089769892
Regency,0.0,0.0,0.0,
Regent's Park,4.036279339442133,4.731909862679535,21.236460608422263,0.8969509643204739
Reigate,0.0,0.0,0.0,
Rickmansworth Town,0.1958124067670265,0.3111299505097849,192.96020870465344,0.783249627068106
Ridgeway,2.8467772930189548,3.3606871907104616,63.28286479882905,1.067541484882108
Riverside Park,0.0,0.0,0.0,
Roehampton,2.6745843622053145,3.290017491548811,39.503707249817595,0.8674327661206425
Rotherhithe,4.6723993870797145,5.264658067497998,58.34381043248303,1.5574664623599048
Round Green,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Roundwood,1.9166666666666667,2.811386949271808,23.09966316907389,0.638888888888889
Roxbourne,2.1209939637693505,2.347339144665053,68.12449226440256,0.8210299214591034
Roxeth,3.006041415806175,4.324664619998579,43.162178334776094,0.6113982540622729
Royal Albert,2.2876713621985205,3.3757955550245837,47.97233043052382,0.8855502047220078
Royal Docks,4.764461966197843,4.768261549331783,199.99999957941282,
Royal Hospital,3.472582767365285,3.8797603131207263,55.970321061762284,1.344225587367207
Royal Victoria,4.719547816768469,6.05392868812086,78.68374745985744,1.2585460844715919
Roydon & Lower Nazeing,0.0,0.0,0.0,
Royston Meridian,0.0,0.0,0.0,
Royston Palace,0.0,0.0,0.0,
Ruislip,2.4683350337590113,3.146135376982141,44.7744606454467,0.8462862972888039
Ruislip Manor,1.1959009349351457,1.4384779475187806,75.72682012360286,0.6523096008737159
Rush Green & Crowlands,4.3146926801123415,5.720136717544086,73.67282809812914,0.7965586486361246
Rushey Green,6.413065731660194,7.241976282860213,42.89123841102487,0.9053739856461451
Ruxley,0.02702702699766779,0.02702702699766779,199.9999260000273,
