ward,month,forecast
Ashford Town,2026-03-01,0.0
Ashtead Park,2025-04-01,0.0
Ashtead Park,2025-05-01,0.0
Ashtead Park,2025-06-01,0.0
Ashtead Park,2025-07-01,0.0
Ashtead Park,2025-08-01,0.0
Ashtead Park,2025-09-01,0.0
Ashtead Park,2025-10-01,0.0
Ashtead Park,2025-11-01,0.0
Ashtead Park,2025-12-01,0.0
Ashtead Park,2026-01-01,0.0
Ashtead Park,2026-02-01,0.0
Ashtead Park,2026-03-01,0.0
Auriol,2025-04-01,0.0
Auriol,2025-05-01,0.0
Auriol,2025-06-01,0.0
Auriol,2025-07-01,0.0
Auriol,2025-08-01,0.0
Auriol,2025-09-01,0.0
Auriol,2025-10-01,0.0
Auriol,2025-11-01,0.0
Auriol,2025-12-01,0.0
Auriol,2026-01-01,0.0
Auriol,2026-02-01,0.0
Auriol,2026-03-01,0.0
Aveley and Uplands,2025-04-01,0.16249500727131577
Aveley and Uplands,2025-05-01,0.16249500727131577
Aveley and Uplands,2025-06-01,0.16249500727131577
Aveley and Uplands,2025-07-01,0.16249500727131577
Aveley and Uplands,2025-08-01,0.16249500727131577
Aveley and Uplands,2025-09-01,0.16249500727131577
Aveley and Uplands,2025-10-01,0.16249500727131577
Aveley and Uplands,2025-11-01,0.16249500727131577
Aveley and Uplands,2025-12-01,0.16249500727131577
Aveley and Uplands,2026-01-01,0.16249500727131577
Aveley and Uplands,2026-02-01,0.16249500727131577
Aveley and Uplands,2026-03-01,0.16249500727131577
Avonmore,2025-04-01,4.393350256496588
Avonmore,2025-05-01,4.393350256496588
Avonmore,2025-06-01,4.393350256496588
Avonmore,2025-07-01,4.393350256496588
Avonmore,2025-08-01,4.393350256496588
Avonmore,2025-09-01,4.393350256496588
Avonmore,2025-10-01,4.393350256496588
Avonmore,2025-11-01,4.393350256496588
Avonmore,2025-12-01,4.393350256496588
Avonmore,2026-01-01,4.393350256496588
Avonmore,2026-02-01,4.393350256496588
Avonmore,2026-03-01,4.393350256496588
Balham,2025-04-01,10.137986976850364
Balham,2025-05-01,10.137986976850364
Balham,2025-06-01,10.137986976850364
Balham,2025-07-01,10.137986976850364
Balham,2025-08-01,10.137986976850364
Balham,2025-09-01,10.137986976850364
Balham,2025-10-01,10.137986976850364
Balham,2025-11-01,10.137986976850364
Balham,2025-12-01,10.137986976850364
Balham,2026-01-01,10.137986976850364
Balham,2026-02-01,10.137986976850364
Balham,2026-03-01,10.137986976850364
Banstead Village,2025-04-01,0.023060258643312147
Banstead Village,2025-05-01,0.02808831379343272
Banstead Village,2025-06-01,0.02808831379343272
Banstead Village,2025-07-01,0.02808831379343272
Banstead Village,2025-08-01,0.02808831379343272
Banstead Village,2025-09-01,0.02808831379343272
Banstead Village,2025-10-01,0.02808831379343272
Banstead Village,2025-11-01,0.02808831379343272
Banstead Village,2025-12-01,0.02808831379343272
Banstead Village,2026-01-01,0.02808831379343272
Banstead Village,2026-02-01,0.02808831379343272
Banstead Village,2026-03-01,0.02808831379343272
Barking Riverside,2025-04-01,6.128227073209174
Barking Riverside,2025-05-01,6.052150058559083
Barking Riverside,2025-06-01,6.885101750413385
Barking Riverside,2025-07-01,6.151563003455183
Barking Riverside,2025-08-01,6.2205266449812235
Barking Riverside,2025-09-01,7.856342258246998
Barking Riverside,2025-10-01,7.203223799025469
Barking Riverside,2025-11-01,6.3348054225266734
Barking Riverside,2025-12-01,6.659872769920616
Barking Riverside,2026-01-01,7.550909268865658
Barking Riverside,2026-02-01,6.000363162369311
Barking Riverside,2026-03-01,7.569633404678752
Barkingside,2025-04-01,3.97666240246762
Barkingside,2025-05-01,3.940013847800651
Barkingside,2025-06-01,3.903365293133682
Barkingside,2025-07-01,3.8667167384667134
Barkingside,2025-08-01,3.8300681837997446
Barkingside,2025-09-01,3.7934196291327757
Barkingside,2025-10-01,3.756771074465807
Barkingside,2025-11-01,3.720122519798838
Barkingside,2025-12-01,3.6834739651318693
Barkingside,2026-01-01,3.6468254104649005
Barkingside,2026-02-01,3.6101768557979317
Barkingside,2026-03-01,3.573528301130963
Barnehurst,2025-04-01,1.4690273122903537
Barnehurst,2025-05-01,1.5395477609822739
Barnehurst,2025-06-01,1.550150840064012
Barnehurst,2025-07-01,1.5517450625639957
