ward_name,forecast,tier,officers_per_shift,month_num
Hanwell Broadway Ward,6.095598,Medium,6,1
Woolwich Arsenal Ward,6.072386,Medium,6,1
Bromley North Ward,6.0474987,Medium,6,1
Harrow Weald Ward,6.0195994,Medium,6,1
South Balham Ward,6.01122,Medium,6,1
High Barnet Ward,6.0055966,Medium,6,1
Orpington Ward,6.001665,Medium,6,1
Falconbrook Ward,6.0009556,Medium,6,1
Queen's Park Ward,5.9947553,Medium,6,1
Bellingham Ward,5.9909716,Medium,6,1
Bedfont Ward,5.9866595,Medium,6,1
Fulham Reach Ward,5.9714084,Medium,6,1
William Morris Ward,5.966179,Medium,6,1
Vauxhall Ward,5.9623322,Medium,6,1
Roxeth Ward,5.959972,Medium,6,1
Myatt's Fields Ward,5.945267,Medium,6,1
West Kensington Ward,5.938957,Medium,6,1
Pinner Ward,5.9311204,Medium,6,1
Cranford Ward,5.92729,Medium,6,1
Pembridge Ward,5.917072,Medium,6,1
Palace & Hurlingham Ward,5.9104195,Medium,6,1
Havering-atte-Bower Ward,5.898631,Medium,6,1
King's Park Ward,5.863868,Medium,6,1
Hermitage & Gardens Ward,5.850495,Medium,6,1
Twickenham Riverside Ward,5.828024,Medium,6,1
Hounslow Heath Ward,5.794465,Medium,6,1
Holland Ward,5.7877626,Medium,6,1
Pinner South Ward,5.7773876,Medium,6,1
Heston West Ward,5.7731104,Medium,6,1
Erith Ward,5.771643,Medium,6,1
Fulham Town Ward,5.767374,Medium,6,1
Northfield Ward,5.758914,Medium,6,1
Wembley Hill Ward,5.754694,Medium,6,1
Wimbledon Park Ward,5.74741,Medium,6,1
Ickenham & South Harefield Ward,5.7347236,Medium,6,1
Bromley Common & Holwood Ward,5.7346516,Medium,6,1
West Ham Ward,5.7341604,Medium,6,1
Alperton Ward,5.7253222,Medium,6,1
Stepney Green Ward,5.7232666,Medium,6,1
Rainham & Wennington Ward,5.721489,Medium,6,1
Squirrels Heath Ward,5.7186007,Medium,6,1
Longbridge Ward,5.704576,Medium,6,1
St. Martin's Ward,5.6974416,Medium,6,1
Brentford East Ward,5.6871586,Medium,6,1
Cranbrook Ward,5.679617,Medium,6,1
Wall End Ward,5.6754923,Medium,6,1
"Mottingham, Coldharbour & New Eltham Ward",5.6642246,Medium,6,1
Northcote Ward,5.663112,Medium,6,1
New Cross Gate Ward,5.63772,Medium,6,1
Royal Albert Ward,5.627159,Medium,6,1
Barnes Ward,5.611247,Medium,6,1
Lady Margaret Ward,5.575021,Medium,6,1
Dormers Wells Ward,5.574947,Medium,6,1
New Southgate Ward,5.574476,Medium,6,1
Bridge Ward (E05011236),5.548693,Medium,6,1
Streatham Hill East Ward,5.53617,Medium,6,1
Clayhall Ward,5.531323,Medium,6,1
Wandle Ward (E05014026),5.5310616,Medium,6,1
